txn_id	direction	argument	bundle	start_index	end_index	byte_addr	beats	axlen	elements_per_beat	issue_order	complete_order	depends_on	dependency_details	timeline_lane
txn_c_write_28	write	c	gmem_c	28	28	112	1	0	1	637	638	txn_a_read_28,txn_b_read_28	txn_a_read_28:llvm_def_use:ssa_value,txn_b_read_28:llvm_def_use:ssa_value	c
txn_a_read_29	read	a	gmem_a	16	31	64	1	0	16	638	639			a
txn_b_read_29	read	b	gmem_b	13	253	0	16	15	16	638	654			b
txn_c_write_29	write	c	gmem_c	29	29	116	1	0	1	659	660	txn_a_read_29,txn_b_read_29	txn_a_read_29:llvm_def_use:ssa_value,txn_b_read_29:llvm_def_use:ssa_value	c
txn_a_read_30	read	a	gmem_a	16	31	64	1	0	16	660	661			a
txn_b_read_30	read	b	gmem_b	14	254	0	16	15	16	660	676			b
txn_c_write_30	write	c	gmem_c	30	30	120	1	0	1	681	682	txn_a_read_30,txn_b_read_30	txn_a_read_30:llvm_def_use:ssa_value,txn_b_read_30:llvm_def_use:ssa_value	c
txn_a_read_31	read	a	gmem_a	16	31	64	1	0	16	682	683			a
txn_b_read_31	read	b	gmem_b	15	255	0	16	15	16	682	698			b
txn_c_write_31	write	c	gmem_c	31	31	124	1	0	1	703	704	txn_a_read_31,txn_b_read_31	txn_a_read_31:llvm_def_use:ssa_value,txn_b_read_31:llvm_def_use:ssa_value	c
txn_a_read_32	read	a	gmem_a	32	47	128	1	0	16	704	705			a
txn_b_read_32	read	b	gmem_b	0	240	0	16	15	16	704	720			b
txn_c_write_32	write	c	gmem_c	32	32	128	1	0	1	725	726	txn_a_read_32,txn_b_read_32	txn_a_read_32:llvm_def_use:ssa_value,txn_b_read_32:llvm_def_use:ssa_value	c
txn_a_read_33	read	a	gmem_a	32	47	128	1	0	16	726	727			a
txn_b_read_33	read	b	gmem_b	1	241	0	16	15	16	726	742			b
txn_c_write_33	write	c	gmem_c	33	33	132	1	0	1	747	748	txn_a_read_33,txn_b_read_33	txn_a_read_33:llvm_def_use:ssa_value,txn_b_read_33:llvm_def_use:ssa_value	c
txn_a_read_34	read	a	gmem_a	32	47	128	1	0	16	748	749			a
txn_b_read_34	read	b	gmem_b	2	242	0	16	15	16	748	764			b
txn_c_write_34	write	c	gmem_c	34	34	136	1	0	1	769	770	txn_a_read_34,txn_b_read_34	txn_a_read_34:llvm_def_use:ssa_value,txn_b_read_34:llvm_def_use:ssa_value	c
